flavor,sold_at,price_thb,quantity,branch,total_sale
Chocolate,2025-07-24T15:58:18+07:00,59,1,CentralWorld,59
Matcha Green Tea,2025-07-24T20:24:01+07:00,85,1,Chiang Mai - Nimman,85
Strawberry,2025-07-25T15:38:08+07:00,65,1,Bangna,65
Strawberry,2025-07-25T21:57:23+07:00,55,1,Rama 9,55
Matcha Green Tea,2025-07-26T18:29:51+07:00,49,1,Rama 9,49
Strawberry,2025-07-27T18:48:54+07:00,79,1,Hat Yai - Lee Gardens,79
Coconut,2025-07-27T21:09:13+07:00,79,1,Siam Paragon,79
Vanilla,2025-07-28T14:42:02+07:00,85,4,Khon Kaen - Central,340
Coconut,2025-07-28T17:47:03+07:00,79,1,Chiang Mai - Nimman,79
Cookies & Cream,2025-07-29T13:38:59+07:00,89,1,Silom Complex,89
Blueberry Cheesecake,2025-07-29T20:30:48+07:00,79,1,Bangna,79
Mango,2025-07-30T13:47:40+07:00,95,2,Bangna,190
Durian,2025-07-31T12:16:26+07:00,69,1,Rama 9,69
Cookies & Cream,2025-07-31T14:02:38+07:00,85,2,Phuket Old Town,170
Thai Tea,2025-07-31T15:21:15+07:00,55,1,Chiang Mai - Nimman,55
Coconut,2025-07-31T19:02:03+07:00,85,1,Hat Yai - Lee Gardens,85
Coconut,2025-08-01T11:35:33+07:00,89,2,Chiang Mai - Nimman,178
Durian,2025-08-02T11:08:25+07:00,59,1,Chiang Mai - Nimman,59
Strawberry,2025-08-02T11:09:55+07:00,75,1,Hat Yai - Lee Gardens,75
Matcha Green Tea,2025-08-02T13:38:07+07:00,89,1,Siam Paragon,89
Blueberry Cheesecake,2025-08-02T20:06:21+07:00,55,1,Phuket Old Town,55
Strawberry,2025-08-03T21:26:22+07:00,49,2,Hat Yai - Lee Gardens,98
Durian,2025-08-05T11:05:06+07:00,59,5,Hat Yai - Lee Gardens,295
Thai Tea,2025-08-05T19:44:11+07:00,85,1,Khon Kaen - Central,85
Blueberry Cheesecake,2025-08-05T21:15:11+07:00,79,2,Hat Yai - Lee Gardens,158
Vanilla,2025-08-05T21:28:35+07:00,65,3,Rama 9,195
Durian,2025-08-06T10:08:36+07:00,75,2,Hat Yai - Lee Gardens,150
Mango,2025-08-07T13:43:19+07:00,75,1,Phuket Old Town,75
Vanilla,2025-08-07T14:30:00+07:00,85,1,Rama 9,85
Matcha Green Tea,2025-08-07T14:58:00+07:00,69,1,Rama 9,69
Durian,2025-08-07T15:26:58+07:00,69,3,Silom Complex,207
Vanilla,2025-08-07T20:23:09+07:00,95,1,Rama 9,95
Thai Tea,2025-08-08T13:01:54+07:00,85,2,Bangna,170
Cookies & Cream,2025-08-08T14:18:29+07:00,65,3,Udon Thani,195
Blueberry Cheesecake,2025-08-08T18:17:37+07:00,59,1,Udon Thani,59
Chocolate,2025-08-09T16:47:08+07:00,55,1,Phuket Old Town,55
Thai Tea,2025-08-09T17:47:06+07:00,69,2,Udon Thani,138
Blueberry Cheesecake,2025-08-09T18:34:35+07:00,95,1,Khon Kaen - Central,95
Vanilla,2025-08-10T11:57:53+07:00,95,1,Hat Yai - Lee Gardens,95
Blueberry Cheesecake,2025-08-10T13:58:14+07:00,65,3,Chiang Mai - Nimman,195
Chocolate,2025-08-10T20:52:00+07:00,85,1,Silom Complex,85
